Order_ID,Date,Month,Year,Customer_ID,Product_ID,Category,Quantity,Unit_Price,Discount,Sales_Amount
1,2025-09-21,9,2025,C093,P209,Herbs,1,9.37,0.15,7.96
1,2025-09-21,9,2025,C093,P093,B Formulations,4,27.65,0.15,94.01
1,2025-09-21,9,2025,C093,P098,D3 Formulations,6,8.72,0.15,44.47
1,2025-09-21,9,2025,C093,P149,Multiple Formulas,1,32.48,0.15,27.61
1,2025-09-21,9,2025,C093,P176,Herbs,4,7.5,0.15,25.5
2,2025-04-22,4,2025,C047,P224,D3 Formulations,2,16.86,0.12,29.67
2,2025-04-22,4,2025,C047,P135,Essential Fatty Acids,4,8.82,0.12,31.05
2,2025-04-22,4,2025,C047,P032,Multiple Formulas,1,25.49,0.12,22.43
3,2025-12-27,12,2025,C014,P246,Herbs,1,8.92,0.05,8.47
3,2025-12-27,12,2025,C014,P137,Multiple Formulas,5,34.71,0.05,164.87
3,2025-12-27,12,2025,C014,P223,Herbs,1,7.31,0.05,6.94
3,2025-12-27,12,2025,C014,P239,C Formulations,1,21.82,0.05,20.73
3,2025-12-27,12,2025,C014,P214,Essential Fatty Acids,1,19.75,0.05,18.76
4,2025-05-27,5,2025,C112,P139,Essential Fatty Acids,1,21.03,0.12,18.51
4,2025-05-27,5,2025,C112,P151,C Formulations,6,20.54,0.12,108.45
5,2025-03-02,3,2025,C171,P207,Nutritional Accessories,2,27.98,0.05,53.16
5,2025-03-02,3,2025,C171,P186,Minerals,1,18.73,0.05,17.79
5,2025-03-02,3,2025,C171,P086,C Formulations,2,21.91,0.05,41.63
6,2025-08-24,8,2025,C084,P138,Multiple Formulas,3,10.06,0.12,26.56
6,2025-08-24,8,2025,C084,P070,Herbs,2,15.83,0.12,27.86
6,2025-08-24,8,2025,C084,P013,C Formulations,2,26.39,0.12,46.45
7,2025-09-08,9,2025,C043,P235,D3 Formulations,4,22.69,0.2,72.61
8,2025-02-05,2,2025,C097,P131,D3 Formulations,3,22.15,0.1,59.8
8,2025-02-05,2,2025,C097,P225,B Formulations,2,24.15,0.1,43.47
8,2025-02-05,2,2025,C097,P176,Herbs,1,7.5,0.1,6.75
9,2025-01-10,1,2025,C058,P098,D3 Formulations,3,8.72,0.2,20.93
9,2025-01-10,1,2025,C058,P102,B Formulations,2,34.22,0.2,54.75
10,2025-09-17,9,2025,C148,P245,Essential Fatty Acids,2,8.01,0.12,14.1
10,2025-09-17,9,2025,C148,P048,Essential Fatty Acids,3,20.85,0.12,55.04
10,2025-09-17,9,2025,C148,P029,Nutritional Accessories,5,20.19,0.12,88.84
10,2025-09-17,9,2025,C148,P171,Nutritional Accessories,1,21.15,0.12,18.61
10,2025-09-17,9,2025,C148,P223,Herbs,3,7.31,0.12,19.3
11,2025-07-08,7,2025,C009,P132,Minerals,1,33.15,0.1,29.84
11,2025-07-08,7,2025,C009,P042,Essential Fatty Acids,3,15.3,0.1,41.31
11,2025-07-08,7,2025,C009,P246,Herbs,1,8.92,0.1,8.03
11,2025-07-08,7,2025,C009,P079,Essential Fatty Acids,1,32.06,0.1,28.85
11,2025-07-08,7,2025,C009,P037,D3 Formulations,2,24.34,0.1,43.81
12,2025-02-10,2,2025,C039,P058,Multiple Formulas,2,32.82,0.2,52.51
12,2025-02-10,2,2025,C039,P016,Minerals,1,33.91,0.2,27.13
12,2025-02-10,2,2025,C039,P009,Essential Fatty Acids,4,15.79,0.2,50.53
13,2025-03-11,3,2025,C102,P058,Multiple Formulas,5,32.82,0.15,139.48
13,2025-03-11,3,2025,C102,P040,C Formulations,1,8.62,0.15,7.33
13,2025-03-11,3,2025,C102,P134,Minerals,3,22.53,0.15,57.45
14,2025-11-06,11,2025,C100,P093,B Formulations,5,27.65,0.1,124.42
14,2025-11-06,11,2025,C100,P152,C Formulations,10,29.15,0.1,262.35
14,2025-11-06,11,2025,C100,P072,B Formulations,1,27.05,0.1,24.35
14,2025-11-06,11,2025,C100,P014,C Formulations,4,16.55,0.1,59.58
15,2025-08-29,8,2025,C067,P078,D3 Formulations,4,10.69,0.0,42.76
15,2025-08-29,8,2025,C067,P104,D3 Formulations,1,31.87,0.0,31.87
16,2025-01-19,1,2025,C123,P072,B Formulations,5,27.05,0.1,121.72
17,2025-12-18,12,2025,C133,P232,D3 Formulations,1,6.77,0.12,5.96
17,2025-12-18,12,2025,C133,P133,Multiple Formulas,2,26.18,0.12,46.08
18,2025-06-05,6,2025,C149,P211,Essential Fatty Acids,4,7.18,0.12,25.27
18,2025-06-05,6,2025,C149,P186,Minerals,1,18.73,0.12,16.48
18,2025-06-05,6,2025,C149,P129,D3 Formulations,2,15.19,0.12,26.73
18,2025-06-05,6,2025,C149,P124,Essential Fatty Acids,2,33.94,0.12,59.73
19,2025-08-26,8,2025,C152,P007,Minerals,1,12.44,0.15,10.57
19,2025-08-26,8,2025,C152,P005,C Formulations,1,20.81,0.15,17.69
19,2025-08-26,8,2025,C152,P202,Nutritional Accessories,1,22.08,0.15,18.77
19,2025-08-26,8,2025,C152,P113,Nutritional Accessories,3,6.71,0.15,17.11
20,2025-10-09,10,2025,C175,P247,Multiple Formulas,2,6.53,0.15,11.1
20,2025-10-09,10,2025,C175,P228,Herbs,2,25.1,0.15,42.67
20,2025-10-09,10,2025,C175,P134,Minerals,5,22.53,0.15,95.75
21,2025-10-08,10,2025,C156,P067,D3 Formulations,1,32.02,0.12,28.18
22,2025-11-30,11,2025,C101,P186,Minerals,1,18.73,0.12,16.48
22,2025-11-30,11,2025,C101,P181,Minerals,1,34.3,0.12,30.18
22,2025-11-30,11,2025,C101,P218,Minerals,5,11.02,0.12,48.49
22,2025-11-30,11,2025,C101,P024,Nutritional Accessories,2,7.49,0.12,13.18
23,2025-09-08,9,2025,C031,P073,Multiple Formulas,2,32.02,0.1,57.64
23,2025-09-08,9,2025,C031,P052,Herbs,1,26.04,0.1,23.44
23,2025-09-08,9,2025,C031,P147,C Formulations,3,29.49,0.1,79.62
24,2025-12-29,12,2025,C151,P022,Minerals,3,23.68,0.12,62.52
24,2025-12-29,12,2025,C151,P043,B Formulations,1,11.41,0.12,10.04
24,2025-12-29,12,2025,C151,P113,Nutritional Accessories,5,6.71,0.12,29.52
25,2025-09-03,9,2025,C104,P195,Essential Fatty Acids,2,13.26,0.1,23.87
25,2025-09-03,9,2025,C104,P246,Herbs,3,8.92,0.1,24.08
25,2025-09-03,9,2025,C104,P045,D3 Formulations,1,23.14,0.1,20.83
25,2025-09-03,9,2025,C104,P242,Essential Fatty Acids,2,33.87,0.1,60.97
25,2025-09-03,9,2025,C104,P141,Nutritional Accessories,4,27.48,0.1,98.93
25,2025-09-03,9,2025,C104,P002,D3 Formulations,3,29.72,0.1,80.24
25,2025-09-03,9,2025,C104,P102,B Formulations,2,34.22,0.1,61.6
25,2025-09-03,9,2025,C104,P026,Herbs,3,32.34,0.1,87.32
26,2025-08-27,8,2025,C058,P141,Nutritional Accessories,1,27.48,0.15,23.36
27,2025-06-04,6,2025,C053,P045,D3 Formulations,1,23.14,0.15,19.67
28,2025-05-03,5,2025,C144,P032,Multiple Formulas,6,25.49,0.05,145.29
28,2025-05-03,5,2025,C144,P011,C Formulations,2,15.37,0.05,29.2
29,2025-01-17,1,2025,C027,P118,Herbs,4,32.53,0.1,117.11
29,2025-01-17,1,2025,C027,P247,Multiple Formulas,1,6.53,0.1,5.88
30,2025-04-24,4,2025,C133,P065,Essential Fatty Acids,2,13.01,0.1,23.42
31,2025-11-11,11,2025,C039,P139,Essential Fatty Acids,2,21.03,0.0,42.06
31,2025-11-11,11,2025,C039,P136,Minerals,1,23.84,0.0,23.84
31,2025-11-11,11,2025,C039,P091,Nutritional Accessories,3,12.88,0.0,38.64
31,2025-11-11,11,2025,C039,P060,Minerals,1,13.48,0.0,13.48
31,2025-11-11,11,2025,C039,P152,C Formulations,5,29.15,0.0,145.75
31,2025-11-11,11,2025,C039,P050,Herbs,3,24.71,0.0,74.13
31,2025-11-11,11,2025,C039,P186,Minerals,2,18.73,0.0,37.46
31,2025-11-11,11,2025,C039,P070,Herbs,2,15.83,0.0,31.66
32,2025-08-29,8,2025,C166,P114,Herbs,2,24.72,0.1,44.5
32,2025-08-29,8,2025,C166,P161,Essential Fatty Acids,2,7.04,0.1,12.67
33,2025-08-07,8,2025,C070,P235,D3 Formulations,1,22.69,0.0,22.69
33,2025-08-07,8,2025,C070,P049,Herbs,2,12.57,0.0,25.14
33,2025-08-07,8,2025,C070,P167,Nutritional Accessories,5,7.08,0.0,35.4
33,2025-08-07,8,2025,C070,P071,B Formulations,1,16.13,0.0,16.13
33,2025-08-07,8,2025,C070,P195,Essential Fatty Acids,1,13.26,0.0,13.26
34,2025-03-15,3,2025,C068,P228,Herbs,2,25.1,0.1,45.18
34,2025-03-15,3,2025,C068,P207,Nutritional Accessories,1,27.98,0.1,25.18
34,2025-03-15,3,2025,C068,P232,D3 Formulations,3,6.77,0.1,18.28
35,2025-05-13,5,2025,C023,P184,C Formulations,1,29.06,0.12,25.57
36,2025-12-29,12,2025,C124,P163,Nutritional Accessories,2,21.74,0.05,41.31
36,2025-12-29,12,2025,C124,P121,Nutritional Accessories,1,32.92,0.05,31.27
36,2025-12-29,12,2025,C124,P008,Minerals,3,9.48,0.05,27.02
37,2025-01-29,1,2025,C127,P204,Multiple Formulas,1,18.17,0.12,15.99
37,2025-01-29,1,2025,C127,P231,Herbs,1,24.63,0.12,21.67
37,2025-01-29,1,2025,C127,P097,B Formulations,1,22.48,0.12,19.78
37,2025-01-29,1,2025,C127,P168,Essential Fatty Acids,5,29.86,0.12,131.38
37,2025-01-29,1,2025,C127,P121,Nutritional Accessories,1,32.92,0.12,28.97
37,2025-01-29,1,2025,C127,P150,Nutritional Accessories,3,20.83,0.12,54.99
37,2025-01-29,1,2025,C127,P079,Essential Fatty Acids,10,32.06,0.12,282.13
37,2025-01-29,1,2025,C127,P002,D3 Formulations,4,29.72,0.12,104.61
37,2025-01-29,1,2025,C127,P005,C Formulations,1,20.81,0.12,18.31
37,2025-01-29,1,2025,C127,P166,Multiple Formulas,5,6.88,0.12,30.27
37,2025-01-29,1,2025,C127,P170,Herbs,1,9.68,0.12,8.52
37,2025-01-29,1,2025,C127,P071,B Formulations,2,16.13,0.12,28.39
37,2025-01-29,1,2025,C127,P086,C Formulations,5,21.91,0.12,96.4
37,2025-01-29,1,2025,C127,P092,D3 Formulations,3,15.44,0.12,40.76
37,2025-01-29,1,2025,C127,P062,Essential Fatty Acids,2,29.7,0.12,52.27
38,2025-06-26,6,2025,C063,P186,Minerals,1,18.73,0.1,16.86
38,2025-06-26,6,2025,C063,P070,Herbs,4,15.83,0.1,56.99
39,2025-08-30,8,2025,C090,P020,C Formulations,3,14.26,0.15,36.36
39,2025-08-30,8,2025,C090,P129,D3 Formulations,1,15.19,0.15,12.91
39,2025-08-30,8,2025,C090,P087,Herbs,2,26.06,0.15,44.3
40,2025-02-18,2,2025,C076,P008,Minerals,1,9.48,0.1,8.53
41,2025-04-22,4,2025,C046,P196,B Formulations,4,21.93,0.05,83.33
41,2025-04-22,4,2025,C046,P195,Essential Fatty Acids,3,13.26,0.05,37.79
41,2025-04-22,4,2025,C046,P015,Nutritional Accessories,1,34.18,0.05,32.47
41,2025-04-22,4,2025,C046,P186,Minerals,2,18.73,0.05,35.59
42,2025-09-15,9,2025,C120,P100,Minerals,2,13.69,0.05,26.01
43,2025-12-19,12,2025,C167,P098,D3 Formulations,1,8.72,0.12,7.67
43,2025-12-19,12,2025,C167,P195,Essential Fatty Acids,3,13.26,0.12,35.01
43,2025-12-19,12,2025,C167,P186,Minerals,5,18.73,0.12,82.41
43,2025-12-19,12,2025,C167,P149,Multiple Formulas,3,32.48,0.12,85.75
43,2025-12-19,12,2025,C167,P157,Essential Fatty Acids,2,15.8,0.12,27.81
43,2025-12-19,12,2025,C167,P089,D3 Formulations,6,12.5,0.12,66.0
43,2025-12-19,12,2025,C167,P142,Multiple Formulas,3,26.21,0.12,69.19
43,2025-12-19,12,2025,C167,P153,Multiple Formulas,1,24.85,0.12,21.87
44,2025-12-09,12,2025,C153,P100,Minerals,10,13.69,0.1,123.21
44,2025-12-09,12,2025,C153,P241,B Formulations,2,17.2,0.1,30.96
44,2025-12-09,12,2025,C153,P143,D3 Formulations,1,26.37,0.1,23.73
44,2025-12-09,12,2025,C153,P186,Minerals,1,18.73,0.1,16.86
45,2025-01-10,1,2025,C031,P089,D3 Formulations,4,12.5,0.1,45.0
45,2025-01-10,1,2025,C031,P137,Multiple Formulas,3,34.71,0.1,93.72
45,2025-01-10,1,2025,C031,P133,Multiple Formulas,1,26.18,0.1,23.56
45,2025-01-10,1,2025,C031,P171,Nutritional Accessories,1,21.15,0.1,19.04
45,2025-01-10,1,2025,C031,P191,Essential Fatty Acids,2,26.18,0.1,47.12
45,2025-01-10,1,2025,C031,P206,Minerals,2,16.32,0.1,29.38
45,2025-01-10,1,2025,C031,P051,Essential Fatty Acids,3,11.06,0.1,29.86
45,2025-01-10,1,2025,C031,P084,Nutritional Accessories,2,6.15,0.1,11.07
46,2025-06-07,6,2025,C098,P247,Multiple Formulas,5,6.53,0.12,28.73
47,2025-12-29,12,2025,C043,P014,C Formulations,3,16.55,0.15,42.2
47,2025-12-29,12,2025,C043,P219,Nutritional Accessories,3,18.58,0.15,47.38
47,2025-12-29,12,2025,C043,P106,B Formulations,1,29.05,0.15,24.69
48,2025-07-07,7,2025,C139,P238,Herbs,1,19.29,0.1,17.36
49,2025-05-06,5,2025,C132,P110,Essential Fatty Acids,1,11.66,0.1,10.49
49,2025-05-06,5,2025,C132,P082,D3 Formulations,4,8.94,0.1,32.18
49,2025-05-06,5,2025,C132,P080,D3 Formulations,1,23.59,0.1,21.23
49,2025-05-06,5,2025,C132,P242,Essential Fatty Acids,1,33.87,0.1,30.48
49,2025-05-06,5,2025,C132,P046,D3 Formulations,2,25.65,0.1,46.17
